,vegetation_diff,grass_diff,area,condition_class,exposed_soil,dist_water
346,4,4,1,3,70,4
347,3,3,1,3,90,4
348,1,1,1,3,100,4
349,1,1,1,1,5,4
350,4,4,1,3,40,4
351,4,4,1,3,40,4
352,0,0,1,3,90,4
353,3,3,1,3,65,3
354,2,2,1,3,50,4
355,2,2,2,2,40,1
356,2,2,2,2,10,2
357,2,2,1,3,85,4
358,4,3,1,4,90,1
359,4,4,1,4,100,4
360,2,1,2,3,30,4
361,1,1,4,2,50,3
362,2,2,1,3,95,2
363,2,1,2,3,45,4
364,4,4,1,3,80,4
365,1,2,1,3,30,4
366,3,3,1,3,60,3
367,2,2,4,3,40,4
368,0,1,1,1,5,4
369,1,1,1,2,45,4
370,3,3,2,2,60,3
371,4,3,1,5,95,3
372,3,3,1,3,50,4
373,3,3,1,3,90,4
374,1,1,1,3,60,2
375,2,2,1,3,60,1
376,3,3,3,4,90,2
377,1,1,2,2,20,2
378,0,0,1,1,10,2
379,3,3,1,3,70,2
380,3,3,1,4,90,4
381,0,0,2,1,10,3
382,3,3,1,3,85,2
383,2,2,1,4,100,1
384,3,3,1,4,80,4
385,3,3,3,3,65,1
386,3,3,3,5,85,1
387,1,1,1,2,40,4
388,3,3,1,3,70,4
389,3,3,1,2,60,4
390,3,3,1,4,95,1
391,1,1,1,2,10,4
392,2,2,1,3,80,2
393,2,3,5,4,60,1
394,4,4,1,5,95,4
395,0,0,1,0,10,4
396,2,2,2,4,90,1
397,0,0,3,2,10,4
398,3,3,1,4,100,1
399,3,3,2,3,60,1
400,1,1,1,3,50,1
401,2,2,1,3,75,1
402,4,3,2,3,92,1
403,2,2,1,2,10,3
404,2,1,2,3,70,4
405,3,3,1,3,70,1
406,2,2,1,1,30,2
407,2,1,1,3,60,4
408,3,3,1,4,90,3
409,2,2,1,3,40,1
410,2,2,1,3,40,2
411,2,3,2,3,50,2
412,3,3,1,3,60,4
413,3,2,1,4,95,1
414,2,2,1,3,40,1
415,2,2,1,3,90,2
416,3,3,1,3,30,1
417,1,1,1,2,35,1
418,3,3,1,3,95,1
419,4,3,1,2,15,1
420,3,3,1,2,5,1
421,4,4,1,4,70,1
422,1,1,1,3,95,4
423,0,0,1,2,20,4
424,3,3,1,2,40,4
425,1,1,1,3,90,3
426,1,1,1,2,10,3
427,2,2,1,2,0,3
428,3,3,2,2,5,3
429,3,3,2,2,5,1
430,1,1,1,4,90,1
431,2,2,1,3,65,4
432,2,2,1,2,20,1
433,2,2,1,4,95,4
434,3,3,1,3,40,1
435,3,2,1,4,96,1
436,2,2,1,3,70,1
437,3,3,1,4,100,1
438,2,2,1,3,20,3
439,1,1,1,4,95,3
440,4,4,2,4,95,4
441,4,4,1,5,95,2
442,2,2,1,2,15,3
443,4,3,4,2,10,4
444,1,1,1,2,0,1
445,0,0,1,0,10,2
446,3,3,2,4,95,3
447,3,3,1,3,75,2
448,2,1,1,4,90,3
449,2,2,1,4,85,3
450,4,4,1,3,30,2
451,4,4,1,4,95,1
452,4,4,1,3,60,4
453,2,2,1,2,20,1
454,3,3,1,2,40,4
455,1,1,1,2,5,1
456,2,1,1,2,10,1
457,3,3,1,3,70,2
458,2,1,1,2,10,2
