,precision,recall,f1-score,support
1,0.375,0.375,0.375,8.0
2,0.7441860465116279,0.8533333333333334,0.7950310559006211,75.0
3,0.8409090909090909,0.8131868131868132,0.8268156424581005,91.0
4,1.0,0.2,0.33333333333333337,10.0
accuracy,0.7771739130434783,0.7771739130434783,0.7771739130434783,0.7771739130434783
macro avg,0.7400237843551797,0.5603800366300367,0.5825450079230138,184.0
weighted avg,0.7898732650059749,0.7771739130434783,0.7673961195085167,184.0
